omim_id	omim_title	omim_description	omim_phenotype	api_lethal_hits	phenotype	section_matched	search_term	gene_symbol	hgnc_id	phenotypes	mode_of_inheritance	needs_date_check	lethal_hit_phenotype_included	lethality_quote	lethality_category_hpo	evidence_from_proband	evidence_from_family_members	disease_gene_lethal	gene_lethal	gene_lethal_summary	all_lethality_categories	earliest_lethality_category	merged_earliest_lethality_category
101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE	Acrodysostosis 1, with or without hormone resistance, 101800 (3)	Acrodysostosis 1, with or without hormone resistance	n	-	-	-	PRKAR1A	HGNC:9388	Acrodysostosis 1, with or without hormone resistance, 101800 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L4|L5|LU	L4	post-infant-lethal
101900	ACROKERATOSIS VERRUCIFORMIS	Acrokeratosis verruciformis, 101900 (3)	Acrokeratosis verruciformis	n	-	-	-	ATP2A2	HGNC:812	Acrokeratosis verruciformis, 101900 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
102370	ACROMICRIC DYSPLASIA	Acromicric dysplasia, 102370 (3)	Acromicric dysplasia	y	ACROMICRIC DYSPLASIA; ACMICD	Phenotype	death|deaths	FBN1	HGNC:3603	Acromicric dysplasia, 102370 (3), Autosomal dominant	Autosomal dominant	n	n	-	-	-	-	ambiguous	ambiguous|lethal|nonlethal	lethal|nonlethal	L2|LU	L2	pre-infant-lethal
102500	HAJDU-CHENEY SYNDROME	Hajdu-Cheney syndrome, 102500 (3)	Hajdu-Cheney syndrome	y	HAJDU-CHENEY SYNDROME; HJCYS	Phenotype	died|lethality	NOTCH2	HGNC:7882	Hajdu-Cheney syndrome, 102500 (3), Autosomal dominant	Autosomal dominant	y	n	-	-	-	-	ambiguous	ambiguous|lethal	lethal	L4	L4	post-infant-lethal
102900	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	Adenosine triphosphate, elevated, of erythrocytes, 102900 (3)	Adenosine triphosphate, elevated, of erythrocytes	n	-	-	-	PKLR	HGNC:9020	Adenosine triphosphate, elevated, of erythrocytes, 102900 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L1	L1	pre-infant-lethal
103050	ADENYLOSUCCINASE DEFICIENCY	Adenylosuccinase deficiency, 103050 (3)	Adenylosuccinase deficiency	y	ADENYLOSUCCINASE DEFICIENCY; ADSLD	Description|Phenotype	fatal	ADSL	HGNC:291	Adenylosuccinase deficiency, 103050 (3), Autosomal recessive	Autosomal recessive	n	y	[There are 3 major phenotypic forms of the disorder that correlate with different values of the S-Ado and SAICAr concentration ratios (S-Ado/SAICAr) in the cerebrospinal fluid. These include the most severe fatal neonatal encephalopathy (S-Ado/SAICAr ratio less than 1) / *** Among 7 unrelated Polish patients with ADSL deficiency, Jurecka et al. (2008) identified 7 biallelic mutations in the ADSL gene, including 5 novel mutations. R426H (608222.0002)was the most common mutation. One patient had a fatal neonatal course (in Molecular Genetics field]	L2	y	-	lethal	lethal	lethal	L2	L2	pre-infant-lethal
103285	ADULT SYNDROME	ADULT syndrome, 103285 (3)	ADULT syndrome	n	-	-	-	TP63	HGNC:15979	ADULT syndrome, 103285 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L2	L2	pre-infant-lethal
103500	TIETZ ALBINISM-DEAFNESS SYNDROME	Tietz albinism-deafness syndrome, 103500 (3)	Tietz albinism-deafness syndrome	n	-	-	-	MITF	HGNC:7105	Tietz albinism-deafness syndrome, 103500 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA	Pseudohypoparathyroidism Ia, 103580 (3)	Pseudohypoparathyroidism Ia	n	-	-	-	GNAS	HGNC:4392	Pseudohypoparathyroidism Ia, 103580 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L3	L3	pre-infant-lethal
103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I	Aldosteronism, glucocorticoid-remediable, 103900 (3)	Aldosteronism, glucocorticoid-remediable	y	HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1	Clinical Features	died	CYP11B1	HGNC:2591	Aldosteronism, glucocorticoid-remediable, 103900 (3), Autosomal dominant	Autosomal dominant	n	y	[Of 10 other affected, deceased individuals (7 males and 3 females) from a single family, 6 who died before 60 yearsof age (4 by stroke) were males.]	L6	y	y	lethal	ambiguous|lethal	lethal	L6	L6	post-infant-lethal
104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1	Palmoplantar keratoderma with congenital alopecia, 104100 (3)	Palmoplantar keratoderma with congenital alopecia	n	-	-	-	GJA1	HGNC:4274	Palmoplantar keratoderma with congenital alopecia, 104100 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
104200	ALPORT SYNDROME 3A, AUTOSOMAL DOMINANT	Alport syndrome 3A, autosomal dominant, 104200 (3)	Alport syndrome 3A, autosomal dominant	y	ALPORT SYNDROME 3A, AUTOSOMAL DOMINANT; ATS3A	Clinical Features	death|deaths	COL4A3	HGNC:2204	Alport syndrome 3A, autosomal dominant, 104200 (3), Autosomal dominant	Autosomal dominant	y	n	-	-	-	-	ambiguous	ambiguous|nonlethal	ambiguous	-	-	-
104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1	Alternating hemiplegia of childhood 1, 104290 (3)	Alternating hemiplegia of childhood 1	n	-	-	-	ATP1A2	HGNC:800	Alternating hemiplegia of childhood 1, 104290 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	ambiguous|nonlethal	ambiguous	-	-	-
104300	ALZHEIMER DISEASE, FAMILIAL, 1	Alzheimer disease 1, familial, 104300 (3)	Alzheimer disease 1, familial	y	ALZHEIMER DISEASE, FAMILIAL, 1; AD1	Clinical Features|Phenotype	death|deaths	APP	HGNC:620	Alzheimer disease 1, familial, 104300 (3), Autosomal dominant	Autosomal dominant	y	y	[Farlow et al. (1994) reviewed the clinical characteristics of the disorder in the AD family reported by Murrell et al. (1991) in which affected members had a mutation in the APP gene (V717F; 104760.0003).The mean age of onset of dementia was 43 years. The earliest cognitive functions affected were recent memory, information-processing speed, sequential tracking, and conceptual reasoning. Language and visuoperceptual skills were largely spared early in the course of the disease. Later, there were progressive cognitive deficits and inability to perform the activities of daily living. Death occurred, on average, 6 years after onse]	L6	y	-	lethal	lethal	lethal	L6	L6	post-infant-lethal
104310	ALZHEIMER DISEASE 2	Alzheimer disease 2, 104310 (3)	Alzheimer disease 2	n	-	-	-	APOE	HGNC:613	Alzheimer disease 2, 104310 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	ambiguous|nonlethal	ambiguous	-	-	-
104500	AMELOGENESIS IMPERFECTA, TYPE IB	Amelogenesis imperfecta, type IB, 104500 (3)	Amelogenesis imperfecta, type IB	n	-	-	-	ENAM	HGNC:3344	Amelogenesis imperfecta, type IB, 104500 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
104510	AMELOGENESIS IMPERFECTA, TYPE IV	Amelogenesis imperfecta, type IV, 104510 (3)	Amelogenesis imperfecta, type IV	n	-	-	-	DLX3	HGNC:2916	Amelogenesis imperfecta, type IV, 104510 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
104530	AMELOGENESIS IMPERFECTA, TYPE IA	Amelogenesis imperfecta, type IA, 104530 (3)	Amelogenesis imperfecta, type IA	n	-	-	-	LAMB3	HGNC:6490	Amelogenesis imperfecta, type IA, 104530 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	ambiguous|lethal|nonlethal	lethal|nonlethal	L2	L2	pre-infant-lethal
105120	AMYLOIDOSIS, FINNISH TYPE	Amyloidosis, Finnish type, 105120 (3)	Amyloidosis, Finnish type	n	-	-	-	GSN	HGNC:4620	Amyloidosis, Finnish type, 105120 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED	Cerebral amyloid angiopathy, 105150 (3)	Cerebral amyloid angiopathy	y	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED	Clinical Features|Clinical Synopsis	died|death|deaths	CST3	HGNC:2475	Cerebral amyloid angiopathy, 105150 (3), Autosomal dominant	Autosomal dominant	y	y	[Onset 3rd to 4th decade of life. Death before age 40]	L6	y	-	lethal	lethal	lethal	L6	L6	post-infant-lethal
105200	AMYLOIDOSIS, FAMILIAL VISCERAL	Amyloidosis, 3 or more types, 105200 (3)	Amyloidosis, 3 or more types	y	AMYLOIDOSIS, FAMILIAL VISCERAL	Clinical Features|Phenotype	death|deaths|died	APOA1	HGNC:600	Amyloidosis, 3 or more types, 105200 (3), Autosomal dominant	Autosomal dominant	y	y	[died of visceral, especially renal, amyloidosis in their 40s]	LU	y	-	lethal	ambiguous|lethal|nonlethal	lethal|nonlethal	LU	LU	post-infant-lethal
105200	AMYLOIDOSIS, FAMILIAL VISCERAL	Amyloidosis, familial visceral, 105200 (3)	Amyloidosis, familial visceral	y	AMYLOIDOSIS, FAMILIAL VISCERAL	Clinical Features|Phenotype	death|deaths|died	FGA	HGNC:3661	Amyloidosis, familial visceral, 105200 (3), Autosomal dominant	Autosomal dominant	y	y	[Systemic amyloidosis is the diagnosis in 2.5% of all renal biopsies, according to Davison (1985), and is the cause of death in more than 1 in 1,500 persons in the United Kingdom annually / In a Peruvian family in which a brother and sister and the son of the brother died from renal amyloidosis, Benson et al. (1993) identified a mutation in the fibrinogen A alpha polypeptide gene (FGA; 134820.0012]	LU	y	-	lethal	ambiguous|lethal	lethal	L2|LU	L2	pre-infant-lethal
105200	AMYLOIDOSIS, FAMILIAL VISCERAL	Amyloidosis, renal, 105200 (3)	Amyloidosis, renal	y	AMYLOIDOSIS, FAMILIAL VISCERAL	Clinical Features|Phenotype	death|deaths|died	LYZ	HGNC:6740	Amyloidosis, renal, 105200 (3), Autosomal dominant	Autosomal dominant	y	y	[died of visceral, especially renal, amyloidosis in their 40s]	LU	y	-	lethal	lethal	lethal	LU	LU	post-infant-lethal
105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	Amyloidosis, hereditary, transthyretin-related, 105210 (3)	Amyloidosis, hereditary, transthyretin-related	y	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	Description|Clinical Features	death|deaths|died	TTR	HGNC:12405	Amyloidosis, hereditary, transthyretin-related, 105210 (3), Autosomal dominant	Autosomal dominant	y	y	[Onset was in the teens or twenties, with death ranging from age 29 to 62 / Age at onset varies greatly; within the ethnically and genetically homogeneous Portuguese population, age at onset was between 17 and 78 in the 1,233 patients examined to 1995 (Hund et al.,2001). Most patients present in the third or fourth decade, but onset of symptoms may be delayed until old age (Benson, 2001). Clinical disease usually progresses over 5 to 15 years and ends with death from cardiac failure, renal failure, or malnutrition. However, in some kindreds heterozygotes with late-onset disease have lived past age 90]	L6	y	-	lethal	ambiguous|lethal	lethal	L6	L6	post-infant-lethal
105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1	Amyloidosis, primary localized cutaneous, 1, 105250 (3)	Amyloidosis, primary localized cutaneous, 1	n	-	-	-	OSMR	HGNC:8507	Amyloidosis, primary localized cutaneous, 1, 105250 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
105400	AMYOTROPHIC LATERAL SCLEROSIS 1	Amyotrophic lateral sclerosis 1, 105400 (3)	Amyotrophic lateral sclerosis 1	y	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	Description|Clinical Features|Phenotype	death|deaths|fatal|died	SOD1	HGNC:11179	Amyotrophic lateral sclerosis 1, 105400 (3), Autosomal dominant, Autosomal recessive	Autosomal dominant, Autosomal recessive	y	y	[Powers et al. (1974) reported the first autopsy in a member of the Wetherbee family from Vermont. The patient was a 35-year-old woman who began to experience weakness in the left leg 1 year before her terminal admission / *** reports in other fields]	L6	y	-	lethal	lethal	lethal	L4|L6	L4	post-infant-lethal
105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1, 105550 (3)	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	y	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1	Clinical Features	died	C9orf72	HGNC:28337	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1, 105550 (3), Autosomal dominant	Autosomal dominant	y	y	[One female patient presented at age 39 with progressive personality changes and dementia and subsequently developed muscle wasting and fasciculations consistent with ALS. She died of respiratory failure after 31 months, and postmortem examination showed frontal lobe atrophy and shrunken motor neurons]	L6	y	-	lethal	lethal	lethal	L6	L6	post-infant-lethal
105600	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE IIIa	Anemia, congenital dyserythropoietic, type IIIA, 105600 (3)	Anemia, congenital dyserythropoietic, type IIIA	n	-	-	-	KIF23	HGNC:6392	Anemia, congenital dyserythropoietic, type IIIA, 105600 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
105650	DIAMOND-BLACKFAN ANEMIA 1	Diamond-Blackfan anemia 1, 105650 (3)	Diamond-Blackfan anemia 1	y	DIAMOND-BLACKFAN ANEMIA 1; DBA1	Clinical Features|Diagnosis	died|spontaneous_abortion|spontaneous_abortions	RPS19	HGNC:10402	Diamond-Blackfan anemia 1, 105650 (3), Autosomal dominant	Autosomal dominant	y	y	[Anur et al. (2009) reported a patient with nonclassical Diamond-Blackfan anemia. She presented at age 17 years with progressive pancytopenia and bone marrow hypoplasia diagnosed after nausea and vomiting following outpatient surgery for correction of a flexion contracture of the finger. She became transfusion-dependent and the disorder was steroid-resistant. Erythrocyte adenosine deaminase was increased, consistent with the diagnosis. She underwent bone marrow transplantation, but died of complications]	L5	y	-	lethal	lethal	lethal	L5	L5	post-infant-lethal
105830	ANGELMAN SYNDROME	Angelman syndrome, 105830 (3)	Angelman syndrome	n	-	-	-	UBE3A	HGNC:12496	Angelman syndrome, 105830 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
106100	ANGIOEDEMA, HEREDITARY, 1	Angioedema, hereditary, 1 and 2, 106100 (3)	Angioedema, hereditary, 1 and 2	n	-	-	-	SERPING1	HGNC:1228	Angioedema, hereditary, 1 and 2, 106100 (3), Autosomal dominant, Autosomal recessive	Autosomal dominant, Autosomal recessive	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
106210	ANIRIDIA 1	Aniridia, 106210 (3)	Aniridia	y	ANIRIDIA 1; AN1	Clinical Features	died	PAX6	HGNC:8620	Aniridia, 106210 (3), Autosomal dominant	Autosomal dominant	n	n	-	-	-	-	ambiguous	ambiguous|lethal|nonlethal	lethal|nonlethal	LU	LU	post-infant-lethal
106210	ANIRIDIA 1	Cataract with late-onset corneal dystrophy, 106210 (3)	Cataract with late-onset corneal dystrophy	y	ANIRIDIA 1; AN1	Clinical Features	died	PAX6	HGNC:8620	Cataract with late-onset corneal dystrophy, 106210 (3), Autosomal dominant	Autosomal dominant	n	n	-	-	-	-	ambiguous	ambiguous|lethal|nonlethal	lethal|nonlethal	LU	LU	post-infant-lethal
106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	Hay-Wells syndrome, 106260 (3)	Hay-Wells syndrome	n	-	-	-	TP63	HGNC:15979	Hay-Wells syndrome, 106260 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L2	L2	pre-infant-lethal
106600	TOOTH AGENESIS, SELECTIVE, 1	Tooth agenesis, selective, 1, with or without orofacial cleft, 106600 (3)	Tooth agenesis, selective, 1, with or without orofacial cleft	n	-	-	-	MSX1	HGNC:7391	Tooth agenesis, selective, 1, with or without orofacial cleft, 106600 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
107250	ANTERIOR SEGMENT DYSGENESIS 1	Anterior segment dysgenesis 1, multiple subtypes, 107250 (3)	Anterior segment dysgenesis 1, multiple subtypes	n	-	-	-	PITX3	HGNC:9006	Anterior segment dysgenesis 1, multiple subtypes, 107250 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	nonlethal	nonlethal	-	-	-
107480	TOWNES-BROCKS SYNDROME 1	Townes-Brocks branchiootorenal-like syndrome, 107480 (3)	Townes-Brocks branchiootorenal-like syndrome	y	TOWNES-BROCKS SYNDROME 1; TBS1	Clinical Features	died|lethal	SALL1	HGNC:10524	Townes-Brocks branchiootorenal-like syndrome, 107480 (3), Autosomal dominant	Autosomal dominant	y	y	[A severely affected child who died at the age of 3 days from cardiac malformations had bilateral preaxial polydactyly]	L2	y	-	lethal	lethal	lethal	L2	L2	pre-infant-lethal
107480	TOWNES-BROCKS SYNDROME 1	Townes-Brocks syndrome 1, 107480 (3)	Townes-Brocks syndrome 1	y	TOWNES-BROCKS SYNDROME 1; TBS1	Clinical Features	died|lethal	SALL1	HGNC:10524	Townes-Brocks syndrome 1, 107480 (3), Autosomal dominant	Autosomal dominant	y	y	[A severely affected child who died at the age of 3 days from cardiac malformations had bilateral preaxial polydactyly]	L2	y	-	lethal	lethal	lethal	L2	L2	pre-infant-lethal
107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1	Arrhythmogenic right ventricular dysplasia 1, 107970 (3)	Arrhythmogenic right ventricular dysplasia 1	y	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	Description|Clinical Features|Clinical Synopsis	death|deaths|died	TGFB3	HGNC:11769	Arrhythmogenic right ventricular dysplasia 1, 107970 (3), Autosomal dominant	Autosomal dominant	y	y	[Huhta et al. (2002) discussed the case of a 15-year-old boy with stress-induced arrhythmia and sudden death / Kearney et al. (1995) described 3 sibs with right ventricular dysplasia. A brother died at age 13]	L5	y	y	lethal	lethal	lethal	L5|L6	L5	post-infant-lethal
108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A	Arthrogryposis, distal, type 1A, 108120 (3)	Arthrogryposis, distal, type 1A	y	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	Description|Clinical Features	lethal|died	TPM2	HGNC:12011	Arthrogryposis, distal, type 1A, 108120 (3), Autosomal dominant	Autosomal dominant	y	y	Ko et al. (2013) reported a Korean mother and daughter with distal arthrogryposis type 2B4. The proband was an infant who at birth showed camptodactyly, overlapping fingers, and adducted thumbs. She had a calcaneovalgus deformity with congenital vertical talus in the right foot and an equinovarus deformity in the left foot. She also displayed subtle facial dysmorphism, including a triangular face, downslanting palpebral fissures, and a small mouth. She had feeding difficulties and died at several months of age, presumably from aspiration pneumonia]	L3	y	-	lethal	lethal	lethal	L3|L6	L3	pre-infant-lethal
108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A	Arthrogryposis, distal, type 2B4, 108120 (3)	Arthrogryposis, distal, type 2B4	y	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	Description|Clinical Features	lethal|died	TPM2	HGNC:12011	Arthrogryposis, distal, type 2B4, 108120 (3), Autosomal dominant	Autosomal dominant	y	y	Ko et al. (2013) reported a Korean mother and daughter with distal arthrogryposis type 2B4. The proband was an infant who at birth showed camptodactyly, overlapping fingers, and adducted thumbs. She had a calcaneovalgus deformity with congenital vertical talus in the right foot and an equinovarus deformity in the left foot. She also displayed subtle facial dysmorphism, including a triangular face, downslanting palpebral fissures, and a small mouth. She had feeding difficulties and died at several months of age, presumably from aspiration pneumonia]	L3	y	-	lethal	lethal	lethal	L3|L6	L3	pre-infant-lethal
108145	ARTHROGRYPOSIS, DISTAL, TYPE 5	Arthrogryposis, distal, type 5, 108145 (3)	Arthrogryposis, distal, type 5	y	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5	Clinical Features	died	PIEZO2	HGNC:26270	Arthrogryposis, distal, type 5, 108145 (3), Autosomal dominant	Autosomal dominant	y	n	-	-	-	-	ambiguous	ambiguous|nonlethal	ambiguous	-	-	-
108300	STICKLER SYNDROME, TYPE I	Stickler syndrome, type I, 108300 (3)	Stickler syndrome, type I	y	STICKLER SYNDROME, TYPE I; STL1	Clinical Features	died	COL2A1	HGNC:2200	Stickler syndrome, type I, 108300 (3), Autosomal dominant	Autosomal dominant	y	y	[Hall (1974) described a family in which 1 infant had died of Pierre Robin anomaly]	L3	y	-	lethal	ambiguous|lethal|nonlethal	lethal|nonlethal	L1|L2|L3	L1	pre-infant-lethal
108420	SPERMATOGENIC FAILURE 2	Spermatogenic failure 2, 108420 (3)	Spermatogenic failure 2	n	-	-	-	MSH4	HGNC:7327	Spermatogenic failure 2, 108420 (3), Autosomal recessive	Autosomal recessive	-	-	-	-	-	-	nonlethal	ambiguous|nonlethal	ambiguous	-	-	-
108500	EPISODIC ATAXIA, TYPE 2	Episodic ataxia, type 2, 108500 (3)	Episodic ataxia, type 2	y	EPISODIC ATAXIA, TYPE 2; EA2	Clinical Features	died	CACNA1A	HGNC:1388	Episodic ataxia, type 2, 108500 (3), Autosomal dominant	Autosomal dominant	y	y	[He was blind and bedridden with developmental delay, marked muscular atrophy, and rigidity. An older sister had died at age 5 with a similar phenotype.]	L4	n	y	lethal	lethal|nonlethal	lethal|nonlethal	L4|L6	L4	post-infant-lethal
108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT	Spastic ataxia 1, autosomal dominant, 108600 (3)	Spastic ataxia 1, autosomal dominant	n	-	-	-	VAMP1	HGNC:12642	Spastic ataxia 1, autosomal dominant, 108600 (3), Autosomal dominant	Autosomal dominant	-	-	-	-	-	-	nonlethal	lethal|nonlethal	lethal|nonlethal	L5	L5	post-infant-lethal
